################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8601-9102
# RA Dec (J2000): 16 41 37.3  +40 09 50
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10083.9  
# Integration time [seconds]: 698.6   
# Date(s) of observations (UT): 2017-10-13 
####################################################################################
# ASCII Table
# Generated by D. V. Stark  Thu May 16 21:12:05 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       7633.0853 -0.000652867    -0.615860
       9118.5336  -0.00124035    -0.632831
       9123.6630  0.000852370    -0.630765
       9128.7925   0.00135287    -0.630292
       9133.9223  0.000740190    -0.630930
       9139.0522  -0.00133309    -0.633029
       9144.1822  -0.00218208    -0.633902
       9149.3125 -0.000986970    -0.632731
       9154.4429 -0.000795641    -0.632562
       9159.5734  -0.00176091    -0.633550
       9164.7042  -0.00225796    -0.634068
       9169.8351  -0.00262003    -0.634451
       9174.9662  -0.00165144    -0.633503
       9180.0974  0.000869485    -0.631001
       9185.2289   0.00147119    -0.630418
       9190.3605  0.000695306    -0.631211
       9195.4922  0.000264836    -0.631659
       9200.6242  2.96990e-05    -0.631911
       9205.7563  0.000819895    -0.631136
       9210.8886  0.000101100    -0.631870
       9216.0210  -0.00132392    -0.633309
       9221.1536  -0.00137563    -0.633374
       9226.2864  -0.00223195    -0.634244
       9231.4194  -0.00124622    -0.633270
       9236.5525   0.00209055    -0.629945
       9241.6858   0.00333079    -0.628716
       9246.8193   0.00222868    -0.629828
       9251.9530  0.000385338    -0.631681
       9257.0868 -0.000440837    -0.632516
       9262.2208 -0.000478243    -0.632562
       9267.3549 -0.000759345    -0.632851
       9272.4892  -0.00204612    -0.634145
       9277.6237  -0.00445265    -0.636558
       9282.7584  -0.00332971    -0.635441
       9287.8932 -9.01445e-05    -0.632207
       9293.0283 -3.99079e-05    -0.632161
       9298.1634 -0.000987803    -0.633113
       9303.2988   0.00109241    -0.631036
       9308.4343   0.00243868    -0.629693
       9313.5700 -0.000208543    -0.632343
       9318.7059  -0.00108159    -0.633218
       9323.8419   0.00138755    -0.630750
       9328.9781   0.00160250    -0.630535
       9334.1145  -0.00117757    -0.633316
       9339.2510  -0.00238926    -0.634527
       9344.3877  -0.00138692    -0.633524
       9349.5246 -0.000420270    -0.632556
       9354.6617 -0.000134571    -0.632268
       9359.7989 -0.000476057    -0.632607
       9364.9363  0.000499226    -0.631629
       9370.0739   0.00343299    -0.628692
       9375.2116   0.00394877    -0.628172
       9380.3495   0.00164620    -0.630471
       9385.4876  0.000271342    -0.631841
       9390.6259   0.00242593    -0.629681
