################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 7958-6103
# RA Dec (J2000): 17 09 00.4  +34 54 16
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10690.9  
# Integration time [seconds]: 817.0   
# Date(s) of observations (UT): 2017-05-31 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Mon Feb 11 19:59:15 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       8230.5892     0.105413 -0.000130658
       10036.204   0.00120982    0.0123907
       10041.364   0.00110646    0.0122992
       10046.524   0.00107856    0.0122831
       10051.684   0.00123197    0.0124480
       10056.844   0.00112950    0.0123568
       10062.004 -0.000224874    0.0110134
       10067.165  -0.00139433   0.00985473
       10072.326  -0.00118374    0.0100759
       10077.487  1.29971e-05    0.0112829
       10082.648  0.000509025    0.0117890
       10087.809  0.000689571    0.0119793
       10092.971  0.000722844    0.0120221
       10098.132  0.000305149    0.0116136
       10103.294  0.000157198    0.0114747
       10108.456 -0.000125464    0.0112008
       10113.618   0.00143767    0.0127724
       10118.780   0.00309665    0.0144395
       10123.943   0.00233487    0.0136856
       10129.106  0.000424546    0.0117829
       10134.268  -0.00182723   0.00953851
       10139.431  -0.00152942   0.00984338
       10144.595  0.000548783    0.0119283
       10149.758   0.00136188    0.0127479
       10154.922   0.00181582    0.0132080
       10160.085   0.00188278    0.0132809
       10165.249  0.000190135    0.0115938
       10170.413 -0.000279824    0.0111291
       10175.577   0.00135938    0.0127733
       10180.742  0.000679326    0.0120979
       10185.906 -0.000143243    0.0112797
       10191.071   0.00158338    0.0130104
       10196.236   0.00302059    0.0144513
       10201.401   0.00269337    0.0141275
       10206.566  0.000209350    0.0116465
       10211.732  -0.00113589    0.0103041
       10216.897  0.000394972    0.0118374
       10222.063  0.000677306    0.0121218
       10227.229  0.000413222    0.0118595
       10232.395  0.000478131    0.0119259
       10237.561 -0.000727776    0.0107212
       10242.728  -0.00132730    0.0101224
       10247.894  -0.00110506    0.0103451
       10253.061  0.000129866    0.0115802
       10258.228   0.00125344    0.0127036
       10263.395   0.00129387    0.0127435
       10268.563   0.00267649    0.0141252
       10273.730   0.00281174    0.0142592
       10278.898 -0.000374857    0.0110711
       10284.066  -0.00226570   0.00917835
       10289.234  -0.00122257    0.0102192
       10294.402 -0.000623643    0.0108156
       10299.570 -2.42433e-05    0.0114120
       10304.739  0.000959109    0.0123921
       10309.907 -0.000788194    0.0106412
       10315.076  -0.00222584   0.00919958
       10320.245  -0.00155882   0.00986229
       10325.414  -0.00170656   0.00970988
       10330.584 -0.000251830    0.0111596
       10335.753   0.00126176    0.0126678
       10340.923 -0.000153653    0.0112467
       10346.093 -0.000554391    0.0108399
       10351.263  0.000151188    0.0115391
       10356.433 -0.000511055    0.0108701
       10361.604  -0.00116102    0.0102130
       10366.774  5.94464e-05    0.0114261
       10371.945  0.000803569    0.0121624
       10377.116 -0.000547729    0.0108029
       10382.287  -0.00133420    0.0100080
       10387.458 -0.000321198    0.0110121
       10392.630   0.00107110    0.0123953
       10397.801   0.00101847    0.0123331
       10402.973 -0.000278332    0.0110264
       10408.145 -0.000618259    0.0106763
       10413.317  3.13811e-05    0.0113154
       10418.490 -0.000424586    0.0108485
       10423.662  -0.00196762   0.00929422
       10428.835  -0.00196427   0.00928600
       10434.008  0.000849170    0.0120875
       10439.181   0.00294888    0.0141750
       10444.354   0.00186860    0.0130821
       10449.527  0.000106378    0.0113069
       10454.701 -0.000549518    0.0106378
       10459.874 -0.000425299    0.0107484
       10465.048 -0.000550393    0.0106094
       10470.222 -0.000958320    0.0101872
       10475.396 -0.000253609    0.0108774
       10480.571 -9.46646e-05    0.0110214
       10485.745 -0.000299636    0.0108012
       10490.920  0.000739880    0.0118252
       10496.095   0.00138801    0.0124574
       10501.270  0.000987028    0.0120403
       10506.445 -0.000346409    0.0106904
       10511.621 -0.000894688    0.0101253
       10516.796  0.000674113    0.0116770
       10521.972   0.00179315    0.0127786
       10527.148  0.000125811    0.0110935
       10532.324  -0.00145295   0.00949671
       10537.500  -0.00113302   0.00979831
       10542.677 -0.000939113   0.00997359
       10547.853  -0.00112156   0.00977222
       10553.030 -0.000577848    0.0102967
       10558.207  0.000522804    0.0113779
       10563.384   0.00135545    0.0121907
       10568.562   0.00112081    0.0119360
       10573.739  0.000555455    0.0113503
       10578.917   0.00119810    0.0119723
       10584.095   0.00173072    0.0124841
       10589.273   0.00206057    0.0127927
       10594.451   0.00198075    0.0126915
       10599.629   0.00130127    0.0119903
       10604.808   0.00108705    0.0117541
       10609.986   0.00103572    0.0116806
       10615.165   0.00198611    0.0126085
       10620.344   0.00261662    0.0132163
       10625.524   0.00214153    0.0127182
       10630.703   0.00280447    0.0133580
       10635.883   0.00354719    0.0140772
       10641.062   0.00396539    0.0144718
       10646.242   0.00433468    0.0148172
       10651.422   0.00289287    0.0133512
       10656.603   0.00100359    0.0114376
       10661.783  0.000807210    0.0112166
       10666.964   0.00143770    0.0118223
       10672.144   0.00151413    0.0118737
       10677.325   0.00218057    0.0125150
       10682.506   0.00340854    0.0137175
       10687.688   0.00272885    0.0130122
       10692.869  0.000687531    0.0109451
       10698.051  0.000190394    0.0104220
       10703.233   0.00161329    0.0118187
       10708.415   0.00252308    0.0127021
       10713.597   0.00123826    0.0113908
       10718.779  0.000425099    0.0105509
       10723.962   0.00135466    0.0114536
       10729.144  0.000733144    0.0108051
       10734.327 -0.000178168   0.00986658
       10739.510  0.000960287    0.0109777
       10744.693   0.00215449    0.0121444
       10749.877   0.00183232    0.0117946
       10755.060  0.000950003    0.0108845
       10760.244  0.000270854    0.0101775
       10765.428  0.000206662    0.0100852
       10770.612   0.00114328    0.0109937
       10775.796   0.00121856    0.0110407
       10780.981   0.00125317    0.0110469
       10786.165   0.00258480    0.0123501
       10791.350   0.00274971    0.0124864
       10796.535   0.00156066    0.0112686
       10801.720  0.000716282    0.0103955
       10806.905   0.00158161    0.0112319
       10812.091   0.00204390    0.0116652
       10817.276  0.000199466   0.00979176
       10822.462 -0.000537373   0.00902580
       10827.648 -0.000273332   0.00926066
       10832.834 -0.000654503   0.00885025
       10838.020  0.000358140   0.00983359
       10843.207   0.00157076    0.0110169
       10848.394   0.00127371    0.0106904
       10853.580   0.00147689    0.0108641
       10858.767   0.00143784    0.0107956
       10863.955  0.000139531   0.00946780
       10869.142  0.000168410   0.00946714
       10874.329   0.00170391    0.0109731
       10879.517   0.00263469    0.0118743
       10884.705   0.00302411    0.0122342
       10889.893   0.00211284    0.0112933
       10895.081  0.000366985   0.00951786
       10900.270 -0.000601294   0.00852001
       10905.458 -0.000311512   0.00878023
       10910.647  0.000108627   0.00917083
       10915.836 -0.000873183   0.00815950
       10921.025 -0.000181472   0.00882173
       10926.214  0.000808779   0.00978252
       10931.404 -0.000209301   0.00873503
       10936.593 -0.000665000   0.00824996
       10941.783 -0.000583802   0.00830184
       10946.973  0.000186493   0.00904287
       10952.163   0.00127806    0.0101052
       10957.353   0.00124216    0.0100402
       10962.544 -0.000272187   0.00849679
       10967.734  -0.00122353   0.00751647
       10972.925  0.000126565   0.00883766
       10978.116   0.00130384   0.00998613
       10983.307   0.00212672    0.0107803
       10988.499   0.00228569    0.0109106
       10993.690  0.000440287   0.00903672
       10998.882 -0.000804248   0.00776379
       11004.074 -0.000507978   0.00803177
       11009.266  0.000455016   0.00896660
       11014.458  0.000916610   0.00940015
       11019.650  0.000176913   0.00863255
       11024.843 -0.000681898   0.00774597
       11030.036  -0.00129698   0.00710325
       11035.229  -0.00150813   0.00686463
       11040.422 -0.000754387   0.00759104
       11045.615  0.000135073   0.00845333
       11050.808  0.000157933   0.00844918
       11056.002  0.000873631   0.00913804
       11061.196   0.00215408    0.0103918
       11066.390   0.00164237   0.00985363
       11071.584 -4.40635e-05   0.00814090
       11076.778 -0.000409889   0.00774896
       11081.972 -2.98467e-05   0.00810308
       11087.167  -0.00111964   0.00698756
       11092.362  -0.00156735   0.00651434
       11097.557 -0.000482491   0.00757389
       11102.752 -5.76116e-06   0.00802553
       11107.947 -0.000893484   0.00711293
       11113.143  -0.00132531   0.00665645
       11118.339  0.000152509   0.00810985
       11123.534  0.000675100   0.00860825
       11128.730 -0.000370137   0.00753906
       11133.927  -0.00144699   0.00643850
       11139.123  -0.00134101   0.00652102
       11144.320  -0.00105402   0.00678480
       11149.516  -0.00172736   0.00608851
       11154.713  -0.00128641   0.00650677
       11159.910  0.000640779   0.00841153
       11165.107   0.00207591   0.00982450
       11170.305   0.00114485   0.00887156
       11175.502  0.000677377   0.00838249
       11180.700   0.00187436   0.00955815
       11185.898   0.00105435   0.00871710
       11191.096 -0.000444014   0.00719800
       11196.295  0.000124069   0.00774564
       11201.493  0.000687813   0.00828924
       11206.692  0.000294338   0.00787592
       11211.890  0.000362384   0.00792444
       11217.089  0.000645410   0.00818824
       11222.289  0.000164459   0.00768839
       11227.488 -0.000394919   0.00711042
       11232.687 -0.000623669   0.00686341
       11237.887 -0.000529512   0.00693963
       11243.087  0.000263383   0.00771492
       11248.287  0.000167093   0.00760136
       11253.487  1.17661e-05   0.00742911
       11258.687   0.00129679   0.00869755
       11263.888  0.000627724   0.00801223
       11269.089  -0.00125383   0.00611478
       11274.290 -0.000897938   0.00645513
       11279.491 -4.11405e-05   0.00729674
       11284.692 -0.000115162   0.00720788
       11289.893 -0.000389225   0.00691935
       11295.095 -3.82226e-05   0.00725625
       11300.297  0.000141672   0.00742240
       11305.499 -0.000450742   0.00681662
       11310.701 -0.000348968   0.00690540
       11315.903 -2.71282e-05   0.00721462
       11321.105 -0.000158934   0.00707057
       11326.308  0.000258640   0.00747629
       11331.511  0.000242348   0.00744852
       11336.714 -0.000315776   0.00687930
       11341.917 -0.000572335   0.00661204
       11347.120 -0.000698451   0.00647562
       11352.324 -0.000805117   0.00635903
       11357.527  -0.00124790   0.00590672
       11362.731  -0.00153410   0.00561140
       11367.935  -0.00136207   0.00577471
       11373.140 -9.22185e-05   0.00703624
       11378.344   0.00112855   0.00824909
       11383.548  0.000466562   0.00757958
       11388.753 -0.000309554   0.00679636
       11393.958  0.000181686   0.00728090
       11399.163  0.000342671   0.00743559
       11404.368  9.83636e-05   0.00718541
       11409.574 -0.000750624   0.00633096
       11414.779  -0.00241325   0.00466328
       11419.985  -0.00133625   0.00573565
       11425.191   0.00126152   0.00832920
       11430.397   0.00183262   0.00889650
       11435.603   0.00194525   0.00900575
       11440.810   0.00142969   0.00848723
       11446.017  -0.00107823   0.00597677
       11451.223  -0.00254853   0.00450434
       11456.430  -0.00171421   0.00533697
       11461.637 -0.000439073   0.00661083
       11466.845  8.23298e-05   0.00713138
       11472.052 -0.000251428   0.00679720
       11477.260  -0.00142037   0.00562824
       11482.468  -0.00191543   0.00513361
       11487.676  -0.00102987   0.00602002
       11492.884 -0.000854527   0.00619662
       11498.092  7.57287e-05   0.00712857
       11503.301   0.00131032   0.00836527
       11508.510  0.000657561   0.00771505
       11513.719 -0.000385060   0.00667539
