################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 9485-3701
# RA Dec (J2000): 07 58 07.7  +36 49 54
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 11761.6  
# Integration time [seconds]: 1794.1  
# Date(s) of observations (UT): 2017-07-08 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Tue Mar 12 21:13:18 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       9284.3225 -0.000914904    0.0509427
       11873.187 -0.000659310    0.0540104
       11878.408 -0.000928369    0.0537116
       11883.630 -0.000354851    0.0542551
       11888.851  0.000252695    0.0548323
       11894.073 -0.000155277    0.0543938
       11899.295 -0.000911311    0.0536070
       11904.517  -0.00128309    0.0532043
       11909.739  -0.00160663    0.0528495
       11914.961  -0.00129413    0.0531306
       11920.184 -0.000260207    0.0541328
       11925.407 -0.000283517    0.0540777
       11930.630 -0.000902117    0.0534270
       11935.853 -0.000536857    0.0537601
       11941.076 -0.000531644    0.0537329
       11946.300 -0.000993311    0.0532386
       11951.523  -0.00176569    0.0524335
       11956.747  -0.00280520    0.0513611
       11961.971  -0.00249224    0.0516410
       11967.195  -0.00178611    0.0523140
       11972.420  -0.00182691    0.0522399
       11977.644  -0.00143696    0.0525964
       11982.869 -0.000873260    0.0531266
       11988.094 -0.000328464    0.0536377
       11993.319  0.000306562    0.0542390
       11998.544  1.48829e-06    0.0539001
       12003.769  4.03498e-06    0.0538688
       12008.995   0.00118344    0.0550142
       12014.221  0.000755099    0.0545519
       12019.446  -0.00122998    0.0525327
       12024.673 -0.000894910    0.0528337
       12029.899  0.000740399    0.0544349
       12035.125   0.00104692    0.0547072
       12040.352  0.000751870    0.0543780
       12045.579  0.000744882    0.0543369
       12050.806   0.00153414    0.0550920
       12056.033   0.00198888    0.0555126
       12061.260   0.00163918    0.0551288
       12066.488   0.00161588    0.0550714
       12071.715   0.00154848    0.0549700
       12076.943   0.00165072    0.0550383
       12082.171   0.00283568    0.0561894
       12087.399   0.00310003    0.0564199
       12092.628   0.00236909    0.0556552
       12097.856   0.00202132    0.0552738
       12103.085   0.00158234    0.0548014
       12108.314   0.00220884    0.0553945
       12113.543   0.00292350    0.0560759
       12118.772   0.00261886    0.0557381
       12124.001   0.00276273    0.0558490
       12129.231   0.00303101    0.0560845
       12134.461   0.00287568    0.0558965
       12139.691   0.00246238    0.0554508
       12144.921   0.00220400    0.0551601
       12150.151   0.00229915    0.0552232
       12155.382   0.00216113    0.0550534
       12160.612   0.00225025    0.0551109
       12165.843   0.00244112    0.0552704
       12171.074   0.00206114    0.0548593
       12176.305   0.00190510    0.0546724
       12181.537   0.00155182    0.0542885
       12186.768   0.00162972    0.0543361
       12192.000   0.00184157    0.0545180
       12197.232  0.000995629    0.0536423
       12202.464  0.000827444    0.0534448
       12207.696   0.00123193    0.0538202
       12212.928   0.00136247    0.0539220
       12218.161   0.00124069    0.0537719
       12223.394   0.00135365    0.0538568
       12228.627   0.00110819    0.0535837
       12233.860  0.000181566    0.0526298
       12239.093 -0.000105123    0.0523163
       12244.326 -0.000364282    0.0520306
       12249.560 -0.000846746    0.0515221
       12254.794 -0.000797923    0.0515453
       12260.028  -0.00104138    0.0512767
       12265.262  -0.00190809    0.0503853
       12270.496  -0.00233010    0.0499390
       12275.731  -0.00107629    0.0511690
       12280.966  0.000680351    0.0529024
       12286.200  0.000772596    0.0529718
       12291.435  0.000244049    0.0524210
       12296.671  7.14246e-06    0.0521623
       12301.906 -0.000409973    0.0517239
       12307.142 -0.000246275    0.0518669
       12312.377  9.80405e-05    0.0521911
       12317.613  -0.00103435    0.0510391
       12322.849  -0.00180099    0.0502534
       12328.086  -0.00114001    0.0508960
       12333.322  -0.00115248    0.0508657
       12338.559  -0.00131162    0.0506893
       12343.795  -0.00120063    0.0507837
       12349.032  -0.00197030    0.0499981
       12354.270  -0.00280321    0.0491499
       12359.507  -0.00274301    0.0491954
       12364.744  -0.00257138    0.0493530
       12369.982  -0.00254319    0.0493679
       12375.220  -0.00241344    0.0494850
       12380.458  -0.00266031    0.0492262
       12385.696  -0.00233765    0.0495376
       12390.934  -0.00218267    0.0496821
       12396.173  -0.00274423    0.0491107
       12401.412  -0.00214621    0.0496997
       12406.651  -0.00161953    0.0502181
       12411.890  -0.00214280    0.0496873
       12417.129  -0.00242212    0.0494012
       12422.368  -0.00256085    0.0492565
       12427.608  -0.00271255    0.0490996
       12432.848  -0.00236186    0.0494459
       12438.088  -0.00151610    0.0502881
       12443.328 -0.000365054    0.0514364
       12448.568  3.53907e-05    0.0518350
       12453.809 -0.000636966    0.0511616
       12459.049  -0.00135948    0.0504389
       12464.290  -0.00142421    0.0503748
       12469.531  -0.00196533    0.0498352
       12474.772  -0.00282540    0.0489776
       12480.014  -0.00198635    0.0498199
       12485.255 -0.000483105    0.0513274
       12490.497  3.13897e-05    0.0518470
       12495.739  0.000178825    0.0520005
       12500.981   0.00127326    0.0531019
       12506.223   0.00204726    0.0538839
       12511.466   0.00115114    0.0529966
       12516.708 -0.000175650    0.0516797
       12521.951 -0.000646461    0.0512197
       12527.194 -0.000120985    0.0517569
       12532.437  0.000542041    0.0524327
       12537.680  0.000515557    0.0524200
       12542.924  0.000169257    0.0520885
       12548.167  0.000859111    0.0527941
       12553.411   0.00108353    0.0530353
       12558.655 -4.09114e-05    0.0519287
       12563.899  1.43956e-05    0.0520029
       12569.144  0.000664345    0.0526727
       12574.388  0.000640248    0.0526696
       12579.633   0.00102900    0.0530804
       12584.878   0.00109780    0.0531722
       12590.123  0.000779544    0.0528781
       12595.368  0.000845388    0.0529692
       12600.614  0.000222115    0.0523722
       12605.859  7.41433e-05    0.0522517
       12611.105   0.00113753    0.0533436
       12616.351   0.00150425    0.0537399
       12621.597   0.00147832    0.0537447
       12626.843   0.00188409    0.0541823
       12632.090   0.00165848    0.0539897
       12637.336  0.000344062    0.0527094
       12642.583 -0.000561172    0.0518394
       12647.830 -9.46656e-05    0.0523422
       12653.077  0.000675461    0.0531499
       12658.325  0.000352635    0.0528657
       12663.572 -0.000148574    0.0524043
       12668.820  0.000682443    0.0532763
       12674.068   0.00157683    0.0542129
       12679.316   0.00163419    0.0543136
